,OBJECTID,id,language_,rights,rightsHolder,institutionID,datasetID,institutionCode,collectionCode,datasetName,basisOfRecord,dynamicProperties,catalogNumber,sex,lifeStage,samplingProtocol,year_,month_,day_,waterBody,country,decimalLatitude,decimalLongitude,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,specificEpithet,scientificNameAuthorship,vernacularName
274,274,SharkSurvey2009_141171,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=139cm,SharkSurvey2009_141171,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
275,275,SharkSurvey2009_141172,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;,SharkSurvey2009_141172,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
276,276,SharkSurvey2009_141173,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=162cm,SharkSurvey2009_141173,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
277,277,SharkSurvey2009_141174,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=184cm,SharkSurvey2009_141174,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
278,278,SharkSurvey2009_141175,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=122cm,SharkSurvey2009_141175,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
279,279,SharkSurvey2009_141176,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=197cm,SharkSurvey2009_141176,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105801,Prionace glauca,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,glauca,"(Linnaeus, 1758)",blue
280,280,SharkSurvey2009_141177,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=183cm,SharkSurvey2009_141177,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
281,281,SharkSurvey2009_141178,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=166cm,SharkSurvey2009_141178,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
282,282,SharkSurvey2009_141179,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=169cm,SharkSurvey2009_141179,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
283,283,SharkSurvey2009_141180,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;,SharkSurvey2009_141180,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
284,284,SharkSurvey2009_141181,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=180cm,SharkSurvey2009_141181,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
285,285,SharkSurvey2009_141182,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=152cm,SharkSurvey2009_141182,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
286,286,SharkSurvey2009_141183,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=140cm,SharkSurvey2009_141183,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
287,287,SharkSurvey2009_141184,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=191cm,SharkSurvey2009_141184,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
288,288,SharkSurvey2009_141185,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=165cm,SharkSurvey2009_141185,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
289,289,SharkSurvey2009_141186,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=150cm,SharkSurvey2009_141186,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
290,290,SharkSurvey2009_141187,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=184cm,SharkSurvey2009_141187,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
291,291,SharkSurvey2009_141188,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=166cm,SharkSurvey2009_141188,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
292,292,SharkSurvey2009_141189,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=153cm,SharkSurvey2009_141189,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
293,293,SharkSurvey2009_141190,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=185cm,SharkSurvey2009_141190,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
294,294,SharkSurvey2009_141191,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=163cm,SharkSurvey2009_141191,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
295,295,SharkSurvey2009_141192,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=185cm,SharkSurvey2009_141192,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
296,296,SharkSurvey2009_141193,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=158cm,SharkSurvey2009_141193,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
297,297,SharkSurvey2009_141194,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=214cm,SharkSurvey2009_141194,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
298,298,SharkSurvey2009_141195,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=190cm,SharkSurvey2009_141195,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
299,299,SharkSurvey2009_141196,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=132cm,SharkSurvey2009_141196,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
300,300,SharkSurvey2009_141197,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=170cm,SharkSurvey2009_141197,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
301,301,SharkSurvey2009_141198,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=141cm,SharkSurvey2009_141198,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
302,302,SharkSurvey2009_141199,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=174cm,SharkSurvey2009_141199,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
303,303,SharkSurvey2009_141200,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=191cm,SharkSurvey2009_141200,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
304,304,SharkSurvey2009_141201,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=142cm,SharkSurvey2009_141201,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
305,305,SharkSurvey2009_141202,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=183cm,SharkSurvey2009_141202,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
306,306,SharkSurvey2009_141203,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=148cm,SharkSurvey2009_141203,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
307,307,SharkSurvey2009_141204,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=134cm,SharkSurvey2009_141204,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
308,308,SharkSurvey2009_141205,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=191cm,SharkSurvey2009_141205,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
309,309,SharkSurvey2009_141206,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=163cm,SharkSurvey2009_141206,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
310,310,SharkSurvey2009_141207,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=174cm,SharkSurvey2009_141207,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
311,311,SharkSurvey2009_141208,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=181cm,SharkSurvey2009_141208,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
312,312,SharkSurvey2009_141209,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=140cm,SharkSurvey2009_141209,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
313,313,SharkSurvey2009_141210,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=216cm,SharkSurvey2009_141210,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
314,314,SharkSurvey2009_141211,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=213cm,SharkSurvey2009_141211,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.65,-55.69,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
