,OBJECTID,id,language_,rights,rightsHolder,institutionID,datasetID,institutionCode,collectionCode,datasetName,basisOfRecord,dynamicProperties,catalogNumber,sex,lifeStage,samplingProtocol,year_,month_,day_,waterBody,country,decimalLatitude,decimalLongitude,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,specificEpithet,scientificNameAuthorship,vernacularName
22,22,SharkSurvey2009_140919,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=101.5cm,SharkSurvey2009_140919,female,NA,Longline fishing gear,2009,6,12,Northwest Atlantic,Canada,42.91,-62.37,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
23,23,SharkSurvey2009_140920,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=108cm,SharkSurvey2009_140920,female,NA,Longline fishing gear,2009,6,12,Northwest Atlantic,Canada,42.91,-62.37,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
24,24,SharkSurvey2009_140921,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=113cm,SharkSurvey2009_140921,male,NA,Longline fishing gear,2009,6,12,Northwest Atlantic,Canada,42.91,-62.37,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
25,25,SharkSurvey2009_140922,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=127cm,SharkSurvey2009_140922,female,NA,Longline fishing gear,2009,6,12,Northwest Atlantic,Canada,42.91,-62.37,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
26,26,SharkSurvey2009_140923,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=116.5cm,SharkSurvey2009_140923,male,NA,Longline fishing gear,2009,6,12,Northwest Atlantic,Canada,42.91,-62.37,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
27,27,SharkSurvey2009_140924,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;,SharkSurvey2009_140924,,NA,Longline fishing gear,2009,6,12,Northwest Atlantic,Canada,42.91,-62.37,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
28,28,SharkSurvey2009_140925,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=141.5cm,SharkSurvey2009_140925,male,NA,Longline fishing gear,2009,6,12,Northwest Atlantic,Canada,42.91,-62.37,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
29,29,SharkSurvey2009_140926,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=144cm,SharkSurvey2009_140926,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.03,-62.77,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
30,30,SharkSurvey2009_140928,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=181cm,SharkSurvey2009_140928,female,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.03,-62.77,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
31,31,SharkSurvey2009_140929,En,http://data.gc.ca/eng/open-government-licence-canada & http://www.canadensys.net/norms,"Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans",BIO,Mar_SharkSurvey,Bedford Institute of Oceanography,SharkSurvey2009,Porbeagle shark surveys of Atlantic Canada,Human observation,DressedWeight=Kg;ForklengthCurved=136.5cm,SharkSurvey2009_140929,male,NA,Longline fishing gear,2009,6,17,Northwest Atlantic,Canada,44.03,-62.77,urn:lsid:marinespecies.org:taxname:105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus,"(Bonnaterre, 1788)",porbeagle
